"Timestamp (America/Chicago)","RA3E-F52ABC Blue [Temperature & Humidity](2)Temperature(FÂ°)","RA3E-F52ABC Blue [Temperature & Humidity](2)Humidity(%RH)"
07/05/2024 23:45:25,73.74,27.95
07/05/2024 22:45:21,73.81,27.95
07/05/2024 21:45:18,73.99,27.95
07/05/2024 20:45:15,74.14,27.62
07/05/2024 19:45:11,74.08,27.62
07/05/2024 18:45:07,74.10,27.30
07/05/2024 17:45:04,74.34,27.00
07/05/2024 16:45:00,74.44,27.00
07/05/2024 15:44:57,74.39,27.30
07/05/2024 14:44:53,74.07,27.30
07/05/2024 13:44:50,73.99,27.30
07/05/2024 12:44:46,73.63,27.62
07/05/2024 11:44:43,73.47,27.95
07/05/2024 10:44:39,73.38,27.95
07/05/2024 09:44:35,73.24,27.95
07/05/2024 09:43:02,73.27,27.95
07/05/2024 08:53:00,73.18,27.95
07/05/2024 08:45:47,73.04,28.27
07/05/2024 08:43:15,73.08,28.27
07/05/2024 07:53:59,73.22,28.27
07/05/2024 06:53:55,73.18,28.27
07/05/2024 05:53:52,73.18,27.95
07/05/2024 04:53:48,73.35,27.95
07/05/2024 03:53:45,73.18,27.95
07/05/2024 02:53:41,73.18,28.27
07/05/2024 01:53:37,73.11,27.95
07/05/2024 00:53:34,73.26,28.27
