"Timestamp (America/Chicago)","RA3E-F52ABC 2118 T&H Sensor [Temperature & Humidity](2)Temperature(F°)","RA3E-F52ABC 2118 T&H Sensor [Temperature & Humidity](2)Humidity(%RH)","RA3E-F52ABC 2118 T&H Sensor [Temperature & Humidity](2)Dew Point(F°)"
08/23/2024 09:37:37,72.28,44.48,49.38
08/23/2024 08:37:32,71.13,46.72,49.64
08/23/2024 07:37:29,71.08,45.75,49.03
08/23/2024 06:37:25,71.06,46.40,49.39
08/23/2024 05:37:22,71.15,46.72,49.66
08/23/2024 04:37:18,71.13,46.72,49.64
08/23/2024 03:37:14,71.11,45.75,49.06
08/23/2024 02:37:11,71.26,45.75,49.19
08/23/2024 01:37:07,71.06,45.75,49.01
08/23/2024 00:37:04,71.29,45.75,49.23
08/22/2024 23:37:00,71.17,45.12,48.74
08/22/2024 22:36:57,71.28,45.12,48.84
08/22/2024 21:36:53,71.19,47.03,49.87
08/22/2024 20:36:50,71.49,47.03,50.15
08/22/2024 20:02:40,71.38,42.25,47.18
08/22/2024 19:02:37,71.49,44.80,48.85
08/22/2024 18:02:33,71.65,47.35,50.48
08/22/2024 17:02:30,72.05,46.72,50.49
08/22/2024 16:02:26,72.95,44.48,49.99
08/22/2024 15:02:23,72.82,43.85,49.49
08/22/2024 14:02:19,72.84,43.53,49.31
08/22/2024 13:02:15,72.46,45.12,49.93
08/22/2024 12:02:12,72.93,42.58,48.80
08/22/2024 11:08:54,72.70,37.50,45.21
08/22/2024 10:08:50,72.66,39.40,46.48
08/22/2024 09:08:47,72.81,40.67,47.46
08/22/2024 08:08:43,72.73,41.62,48.01
08/22/2024 07:08:40,72.81,42.58,48.68
08/22/2024 06:08:37,72.70,42.58,48.58
08/22/2024 05:08:32,72.75,42.58,48.63
08/22/2024 04:08:29,72.68,42.58,48.57
08/22/2024 03:08:25,72.64,41.95,48.14
08/22/2024 02:08:22,72.59,41.30,47.67
08/22/2024 01:08:18,72.54,41.00,47.43
08/22/2024 00:08:15,72.32,40.35,46.81
08/21/2024 23:08:11,72.37,41.30,47.47
08/21/2024 22:08:08,72.27,41.95,47.79
08/21/2024 21:08:04,72.32,41.30,47.43
08/21/2024 20:08:00,72.32,40.35,46.81
08/21/2024 19:07:57,72.27,40.67,46.97
08/21/2024 18:07:54,72.39,39.72,46.45
08/21/2024 17:07:50,72.16,41.00,47.08
08/21/2024 16:07:47,71.94,42.25,47.69
08/21/2024 15:07:43,71.47,44.48,48.64
08/21/2024 14:07:39,70.52,45.12,48.15
08/21/2024 13:07:36,70.09,44.48,47.37
08/21/2024 12:07:32,70.74,42.58,46.80
08/21/2024 11:07:29,70.61,41.00,45.68
08/21/2024 10:07:25,70.56,40.67,45.42
08/21/2024 09:07:22,70.68,41.95,46.36
08/21/2024 08:07:18,70.79,45.75,48.77
08/21/2024 07:07:14,70.77,46.40,49.13
08/21/2024 06:07:11,70.74,46.40,49.09
08/21/2024 05:07:07,70.77,46.40,49.13
08/21/2024 04:07:04,70.72,46.08,48.89
08/21/2024 03:07:00,70.70,45.75,48.68
08/21/2024 02:06:57,70.83,44.80,48.24
08/21/2024 01:06:54,70.81,44.48,48.03
08/21/2024 00:06:50,70.66,44.48,47.90
08/20/2024 23:06:46,70.77,43.85,47.62
08/20/2024 22:06:42,70.88,42.25,46.72
08/20/2024 21:06:39,70.90,40.35,45.52
08/20/2024 20:06:35,70.88,40.67,45.71
08/20/2024 19:06:32,70.95,40.67,45.78
08/20/2024 18:06:28,71.71,40.03,46.04
08/20/2024 17:06:25,72.34,39.08,45.98
08/20/2024 16:06:21,72.73,39.40,46.55
08/20/2024 15:06:18,72.72,40.67,47.37
08/20/2024 14:06:14,72.41,42.25,48.11
08/20/2024 13:06:11,72.03,43.22,48.38
08/20/2024 12:06:07,72.23,41.30,47.34
08/20/2024 11:06:03,71.47,41.30,46.66
08/20/2024 10:06:00,70.36,43.85,47.24
08/20/2024 09:05:56,70.65,44.17,47.69
08/20/2024 08:05:52,70.48,44.17,47.55
08/20/2024 07:05:49,70.59,45.12,48.21
08/20/2024 06:05:46,70.65,46.08,48.83
08/20/2024 05:05:42,70.66,46.08,48.84
08/20/2024 04:05:39,70.66,45.12,48.28
08/20/2024 03:05:35,70.59,45.75,48.58
08/20/2024 02:05:32,70.61,46.72,49.16
08/20/2024 01:05:28,70.61,49.25,50.59
08/20/2024 00:05:24,70.68,48.95,50.49
08/19/2024 23:05:20,70.66,47.67,49.76
08/19/2024 22:05:17,70.77,47.98,50.03
08/19/2024 21:05:13,70.66,48.62,50.29
08/19/2024 20:05:10,70.83,48.30,50.26
08/19/2024 19:05:06,70.75,48.95,50.55
08/19/2024 18:05:03,70.79,47.67,49.87
08/19/2024 17:04:59,70.68,48.95,50.49
08/19/2024 16:04:56,70.83,49.25,50.78
08/19/2024 15:04:52,70.65,47.03,49.37
08/19/2024 14:04:49,70.48,45.75,48.48
08/19/2024 13:04:46,70.14,46.72,48.73
08/19/2024 12:04:42,70.75,46.08,48.93
08/19/2024 11:04:38,70.72,47.98,49.98
08/19/2024 10:04:34,70.63,49.58,50.78
08/19/2024 09:04:31,70.97,50.22,51.45
08/19/2024 08:04:27,70.93,50.53,51.58
08/19/2024 07:04:24,71.04,50.22,51.51
08/19/2024 06:04:20,70.77,49.90,51.09
08/19/2024 05:04:17,70.88,50.53,51.53
08/19/2024 04:04:13,70.99,50.53,51.63
08/19/2024 03:04:10,70.79,50.22,51.28
08/19/2024 02:04:06,70.86,50.22,51.35
08/19/2024 01:04:02,70.95,50.85,51.77
08/19/2024 00:03:59,70.84,50.22,51.33
08/18/2024 23:03:55,70.97,50.85,51.79
08/18/2024 22:03:52,70.83,50.85,51.65
08/18/2024 21:03:48,70.86,50.85,51.68
08/18/2024 20:03:45,70.99,50.85,51.80
08/18/2024 19:03:41,70.88,50.85,51.70
08/18/2024 18:03:38,71.01,50.85,51.82
08/18/2024 17:03:34,70.88,50.22,51.36
08/18/2024 16:03:31,70.95,50.22,51.43
08/18/2024 15:03:27,71.06,50.53,51.70
08/18/2024 14:03:23,70.97,50.53,51.61
08/18/2024 13:03:20,70.56,52.12,52.07
08/18/2024 12:03:16,71.08,50.22,51.55
08/18/2024 11:03:12,71.04,50.22,51.51
08/18/2024 10:03:09,71.08,50.22,51.55
08/18/2024 09:03:05,71.06,49.90,51.36
08/18/2024 08:03:02,71.11,50.22,51.58
08/18/2024 07:02:58,71.28,50.85,52.07
08/18/2024 06:02:55,70.90,50.53,51.55
08/18/2024 05:02:51,71.20,50.53,51.83
08/18/2024 04:02:48,71.15,50.53,51.78
08/18/2024 03:02:44,71.19,50.53,51.81
08/18/2024 02:02:41,71.17,50.85,51.97
08/18/2024 01:02:37,71.06,50.53,51.70
08/18/2024 00:02:34,71.20,50.53,51.83
08/17/2024 23:02:30,71.01,50.53,51.65
08/17/2024 22:02:26,71.20,50.53,51.83
08/17/2024 21:02:23,71.17,50.85,51.97
08/17/2024 20:02:19,71.17,50.53,51.80
08/17/2024 19:02:16,71.10,50.53,51.73
08/17/2024 18:02:12,71.26,50.53,51.88
08/17/2024 17:02:08,71.24,50.22,51.70
08/17/2024 16:02:05,71.20,49.90,51.49
08/17/2024 15:02:02,71.28,49.90,51.56
08/17/2024 14:01:58,71.22,50.22,51.68
08/17/2024 13:01:54,70.99,51.17,51.97
08/17/2024 12:01:51,71.44,49.58,51.53
08/17/2024 11:01:47,71.47,49.58,51.56
08/17/2024 10:01:44,71.49,49.58,51.58
08/17/2024 09:01:40,71.55,49.90,51.81
08/17/2024 08:01:36,71.60,49.58,51.68
08/17/2024 07:01:33,71.60,49.90,51.86
08/17/2024 06:01:29,71.55,49.90,51.81
08/17/2024 05:01:26,71.65,49.90,51.91
08/17/2024 04:01:23,71.56,49.90,51.82
08/17/2024 03:01:19,71.65,49.90,51.91
08/17/2024 02:01:15,71.44,49.90,51.71
08/17/2024 01:01:12,71.69,49.58,51.76
08/17/2024 00:01:08,71.73,49.58,51.80
08/16/2024 23:01:04,71.60,49.58,51.68
08/16/2024 22:01:01,71.67,49.90,51.92
08/16/2024 21:00:57,71.64,49.25,51.53
08/16/2024 20:00:54,71.87,48.62,51.40
08/16/2024 19:00:50,72.23,48.30,51.55
08/16/2024 18:00:47,73.81,46.40,51.92
08/16/2024 17:00:43,73.65,45.75,51.39
08/16/2024 16:00:40,74.01,46.72,52.29
08/16/2024 15:00:36,72.99,47.67,51.89
08/16/2024 14:00:32,72.52,47.67,51.46
08/16/2024 13:00:29,71.67,50.22,52.10
08/16/2024 12:00:25,71.08,49.58,51.20
08/16/2024 11:00:22,71.26,50.22,51.71
08/16/2024 10:00:18,71.35,49.58,51.45
08/16/2024 09:00:15,71.17,50.22,51.63
08/16/2024 08:00:11,71.08,50.22,51.55
08/16/2024 07:00:08,71.31,50.22,51.76
08/16/2024 06:00:04,71.20,50.22,51.66
08/16/2024 05:00:00,71.26,50.22,51.71
08/16/2024 03:59:57,71.22,50.22,51.68
08/16/2024 02:59:53,71.22,50.53,51.85
08/16/2024 01:59:50,71.24,50.22,51.70
08/16/2024 00:59:46,71.20,50.22,51.66
08/15/2024 23:59:43,71.22,50.22,51.68
08/15/2024 22:59:39,71.19,50.22,51.65
08/15/2024 21:59:36,71.22,50.22,51.68
08/15/2024 20:59:32,71.15,50.22,51.61
08/15/2024 19:59:28,71.10,50.22,51.56
08/15/2024 18:59:25,71.38,49.90,51.66
08/15/2024 17:59:21,71.17,50.22,51.63
08/15/2024 16:59:18,71.35,49.90,51.62
08/15/2024 15:59:14,71.35,50.22,51.80
08/15/2024 14:59:11,71.22,50.22,51.68
08/15/2024 13:59:07,71.11,50.22,51.58
08/15/2024 12:59:04,70.92,51.17,51.91
08/15/2024 11:59:00,71.20,49.25,51.13
08/15/2024 10:58:57,71.26,49.58,51.36
08/15/2024 09:58:53,71.40,49.58,51.50
08/15/2024 08:58:50,72.37,48.30,51.68
08/15/2024 07:58:46,71.22,49.58,51.33
08/15/2024 06:58:42,71.26,49.25,51.18
08/15/2024 05:58:39,71.38,49.25,51.30
08/15/2024 04:58:35,71.31,49.58,51.41
08/15/2024 03:58:32,71.40,49.58,51.50
08/15/2024 02:58:28,71.24,49.25,51.17
08/15/2024 01:58:30,71.29,49.58,51.40
08/15/2024 00:58:21,71.46,49.58,51.55
